Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
01-14-2024,50491.02349580224,2024 4Runner,48098,1.29,3.16,-3.77
03-15-2024,50311.342863335434,2024 4Runner,48098,1.29,3.16,-3.77
05-15-2024,50076.81948006013,2024 4Runner,48098,1.29,3.16,-3.77
07-15-2024,49944.04398612182,2024 4Runner,48098,1.29,3.16,-3.77
09-14-2024,49012.425792776696,2024 4Runner,48098,1.29,3.16,-3.77
11-14-2024,48195.160093272825,2024 4Runner,48098,1.29,3.16,-3.77
01-14-2025,46963.581649646505,2024 4Runner,48098,1.29,3.16,-3.77
03-16-2025,46974.79399858589,2024 4Runner,48098,1.29,3.16,-3.77
03-16-2025,62536.5,2025 4Runner,58136,-5.43,0.0,0.0
© 2025 CarGurus, Inc., All Rights Reserved.
