Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
09-06-2013,36256.188481675395,2014 Wrangler,17402,-0.27,-2.63,-13.47
11-06-2013,38231.69124911785,2014 Wrangler,17402,-0.27,-2.63,-13.47
01-06-2014,36930.19713851608,2014 Wrangler,17402,-0.27,-2.63,-13.47
03-08-2014,36194.68969310617,2014 Wrangler,17402,-0.27,-2.63,-13.47
05-08-2014,35540.52848272138,2014 Wrangler,17402,-0.27,-2.63,-13.47
07-08-2014,35089.71772845648,2014 Wrangler,17402,-0.27,-2.63,-13.47
09-07-2014,35109.207095622965,2014 Wrangler,17402,-0.27,-2.63,-13.47
11-07-2014,34657.098614304356,2014 Wrangler,17402,-0.27,-2.63,-13.47
01-07-2015,34083.36746676563,2014 Wrangler,17402,-0.27,-2.63,-13.47
03-09-2015,33457.320807275915,2014 Wrangler,17402,-0.27,-2.63,-13.47
05-09-2015,33578.56863820063,2014 Wrangler,17402,-0.27,-2.63,-13.47
07-09-2015,33743.87264811803,2014 Wrangler,17402,-0.27,-2.63,-13.47
09-08-2015,33759.30331757789,2014 Wrangler,17402,-0.27,-2.63,-13.47
11-08-2015,33363.16626727505,2014 Wrangler,17402,-0.27,-2.63,-13.47
01-08-2016,32687.614114108525,2014 Wrangler,17402,-0.27,-2.63,-13.47
03-09-2016,31931.17521975845,2014 Wrangler,17402,-0.27,-2.63,-13.47
05-09-2016,27695.110012236197,2014 Wrangler,17402,-0.27,-2.63,-13.47
07-09-2016,27992.497211265658,2014 Wrangler,17402,-0.27,-2.63,-13.47
09-08-2016,27960.175831140383,2014 Wrangler,17402,-0.27,-2.63,-13.47
11-08-2016,27590.022189719468,2014 Wrangler,17402,-0.27,-2.63,-13.47
01-08-2017,27014.853942706875,2014 Wrangler,17402,-0.27,-2.63,-13.47
03-10-2017,26584.22598624526,2014 Wrangler,17402,-0.27,-2.63,-13.47
05-10-2017,26544.242538299695,2014 Wrangler,17402,-0.27,-2.63,-13.47
07-10-2017,26549.841176149097,2014 Wrangler,17402,-0.27,-2.63,-13.47
09-09-2017,26435.89255497103,2014 Wrangler,17402,-0.27,-2.63,-13.47
11-09-2017,26305.660702993253,2014 Wrangler,17402,-0.27,-2.63,-13.47
01-09-2018,25893.10931248202,2014 Wrangler,17402,-0.27,-2.63,-13.47
03-11-2018,25262.956856934783,2014 Wrangler,17402,-0.27,-2.63,-13.47
05-11-2018,24818.21444752717,2014 Wrangler,17402,-0.27,-2.63,-13.47
07-11-2018,24590.480393207676,2014 Wrangler,17402,-0.27,-2.63,-13.47
09-10-2018,24657.933281792313,2014 Wrangler,17402,-0.27,-2.63,-13.47
11-10-2018,24672.028627444728,2014 Wrangler,17402,-0.27,-2.63,-13.47
01-10-2019,24062.322002276753,2014 Wrangler,17402,-0.27,-2.63,-13.47
03-12-2019,23426.00479186265,2014 Wrangler,17402,-0.27,-2.63,-13.47
05-12-2019,22898.848990850176,2014 Wrangler,17402,-0.27,-2.63,-13.47
07-12-2019,22846.09287010999,2014 Wrangler,17402,-0.27,-2.63,-13.47
09-11-2019,22836.53929970836,2014 Wrangler,17402,-0.27,-2.63,-13.47
11-11-2019,22672.915789860937,2014 Wrangler,17402,-0.27,-2.63,-13.47
01-11-2020,21949.732170542637,2014 Wrangler,17402,-0.27,-2.63,-13.47
03-12-2020,21351.71355387553,2014 Wrangler,17402,-0.27,-2.63,-13.47
05-12-2020,20951.697142957983,2014 Wrangler,17402,-0.27,-2.63,-13.47
07-12-2020,20892.268029666146,2014 Wrangler,17402,-0.27,-2.63,-13.47
09-11-2020,22560.36689140538,2014 Wrangler,17402,-0.27,-2.63,-13.47
11-11-2020,23482.001799274192,2014 Wrangler,17402,-0.27,-2.63,-13.47
01-11-2021,22927.75142965109,2014 Wrangler,17402,-0.27,-2.63,-13.47
03-13-2021,22221.88060324011,2014 Wrangler,17402,-0.27,-2.63,-13.47
05-13-2021,23503.17174730304,2014 Wrangler,17402,-0.27,-2.63,-13.47
