Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
01-02-2009,4533.205604499113,1990 Wrangler,16174,-10.95,74.47,74.06
03-04-2009,6180.631072249659,1990 Wrangler,16174,-10.95,74.47,74.06
05-04-2009,5790.920841507847,1990 Wrangler,16174,-10.95,74.47,74.06
07-04-2009,6224.75,1990 Wrangler,16174,-10.95,74.47,74.06
09-03-2009,6108.995728140394,1990 Wrangler,16174,-10.95,74.47,74.06
11-03-2009,5672.726716592702,1990 Wrangler,16174,-10.95,74.47,74.06
01-03-2010,5352.945851293103,1990 Wrangler,16174,-10.95,74.47,74.06
03-05-2010,6058.225302419355,1990 Wrangler,16174,-10.95,74.47,74.06
05-05-2010,6717.737164306641,1990 Wrangler,16174,-10.95,74.47,74.06
07-05-2010,7011.39512381487,1990 Wrangler,16174,-10.95,74.47,74.06
09-04-2010,6541.0878316182025,1990 Wrangler,16174,-10.95,74.47,74.06
11-04-2010,5809.154247636555,1990 Wrangler,16174,-10.95,74.47,74.06
01-04-2011,6189.433172817888,1990 Wrangler,16174,-10.95,74.47,74.06
03-06-2011,6300.756187938084,1990 Wrangler,16174,-10.95,74.47,74.06
05-06-2011,6778.896618559161,1990 Wrangler,16174,-10.95,74.47,74.06
07-06-2011,6783.718087121212,1990 Wrangler,16174,-10.95,74.47,74.06
09-05-2011,6986.092759106394,1990 Wrangler,16174,-10.95,74.47,74.06
11-05-2011,5488.742317925709,1990 Wrangler,16174,-10.95,74.47,74.06
01-05-2012,5430.639806999241,1990 Wrangler,16174,-10.95,74.47,74.06
03-06-2012,5807.591145833333,1990 Wrangler,16174,-10.95,74.47,74.06
05-06-2012,6148.268781078532,1990 Wrangler,16174,-10.95,74.47,74.06
07-06-2012,5774.395663174716,1990 Wrangler,16174,-10.95,74.47,74.06
09-05-2012,6458.976447610294,1990 Wrangler,16174,-10.95,74.47,74.06
11-05-2012,6246.41848298242,1990 Wrangler,16174,-10.95,74.47,74.06
01-05-2013,6162.784772577455,1990 Wrangler,16174,-10.95,74.47,74.06
03-07-2013,6136.811126673458,1990 Wrangler,16174,-10.95,74.47,74.06
05-07-2013,6445.889416124367,1990 Wrangler,16174,-10.95,74.47,74.06
07-07-2013,6665.319970221796,1990 Wrangler,16174,-10.95,74.47,74.06
09-06-2013,7143.0798633835075,1990 Wrangler,16174,-10.95,74.47,74.06
11-06-2013,6572.244935590052,1990 Wrangler,16174,-10.95,74.47,74.06
01-06-2014,6085.680536936021,1990 Wrangler,16174,-10.95,74.47,74.06
03-08-2014,6112.150688410875,1990 Wrangler,16174,-10.95,74.47,74.06
05-08-2014,6507.819362490559,1990 Wrangler,16174,-10.95,74.47,74.06
07-08-2014,6846.9727617276885,1990 Wrangler,16174,-10.95,74.47,74.06
09-07-2014,7064.71076249282,1990 Wrangler,16174,-10.95,74.47,74.06
11-07-2014,7544.347959147042,1990 Wrangler,16174,-10.95,74.47,74.06
01-07-2015,8227.11484287514,1990 Wrangler,16174,-10.95,74.47,74.06
03-09-2015,7891.836159773446,1990 Wrangler,16174,-10.95,74.47,74.06
05-09-2015,7321.780134633607,1990 Wrangler,16174,-10.95,74.47,74.06
07-09-2015,7058.362425455116,1990 Wrangler,16174,-10.95,74.47,74.06
