Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
11-02-2008,19989.940833333334,2006 4Runner,10558,0.39,-1.2,-5.5
01-02-2009,19855.50222901222,2006 4Runner,10558,0.39,-1.2,-5.5
03-04-2009,21364.793495550493,2006 4Runner,10558,0.39,-1.2,-5.5
05-04-2009,22378.500427119223,2006 4Runner,10558,0.39,-1.2,-5.5
07-04-2009,22498.794961998647,2006 4Runner,10558,0.39,-1.2,-5.5
09-03-2009,22672.177423297886,2006 4Runner,10558,0.39,-1.2,-5.5
11-03-2009,22855.95348893051,2006 4Runner,10558,0.39,-1.2,-5.5
01-03-2010,22331.92715282767,2006 4Runner,10558,0.39,-1.2,-5.5
03-05-2010,21752.120548505936,2006 4Runner,10558,0.39,-1.2,-5.5
05-05-2010,21256.295207739826,2006 4Runner,10558,0.39,-1.2,-5.5
07-05-2010,21004.64566321781,2006 4Runner,10558,0.39,-1.2,-5.5
09-04-2010,20909.438685521553,2006 4Runner,10558,0.39,-1.2,-5.5
11-04-2010,20673.978377207906,2006 4Runner,10558,0.39,-1.2,-5.5
01-04-2011,20547.202409113546,2006 4Runner,10558,0.39,-1.2,-5.5
03-06-2011,20399.39525620134,2006 4Runner,10558,0.39,-1.2,-5.5
05-06-2011,20152.083168029418,2006 4Runner,10558,0.39,-1.2,-5.5
07-06-2011,20025.80816704589,2006 4Runner,10558,0.39,-1.2,-5.5
09-05-2011,19399.148298712284,2006 4Runner,10558,0.39,-1.2,-5.5
11-05-2011,18793.144934412503,2006 4Runner,10558,0.39,-1.2,-5.5
01-05-2012,18357.715600636227,2006 4Runner,10558,0.39,-1.2,-5.5
03-06-2012,18111.253695377472,2006 4Runner,10558,0.39,-1.2,-5.5
05-06-2012,17827.067573832184,2006 4Runner,10558,0.39,-1.2,-5.5
07-06-2012,17511.426257124407,2006 4Runner,10558,0.39,-1.2,-5.5
09-05-2012,16974.828262004892,2006 4Runner,10558,0.39,-1.2,-5.5
11-05-2012,16477.513315765867,2006 4Runner,10558,0.39,-1.2,-5.5
01-05-2013,16079.294500833206,2006 4Runner,10558,0.39,-1.2,-5.5
03-07-2013,16012.726085124315,2006 4Runner,10558,0.39,-1.2,-5.5
05-07-2013,15989.90783054298,2006 4Runner,10558,0.39,-1.2,-5.5
07-07-2013,15848.048022492263,2006 4Runner,10558,0.39,-1.2,-5.5
09-06-2013,15359.81190793079,2006 4Runner,10558,0.39,-1.2,-5.5
11-06-2013,15073.493446148852,2006 4Runner,10558,0.39,-1.2,-5.5
01-06-2014,14944.332482336056,2006 4Runner,10558,0.39,-1.2,-5.5
03-08-2014,14839.55419449736,2006 4Runner,10558,0.39,-1.2,-5.5
05-08-2014,15136.205660874144,2006 4Runner,10558,0.39,-1.2,-5.5
07-08-2014,15120.14506188959,2006 4Runner,10558,0.39,-1.2,-5.5
09-07-2014,14994.066770996349,2006 4Runner,10558,0.39,-1.2,-5.5
11-07-2014,14679.02092273316,2006 4Runner,10558,0.39,-1.2,-5.5
01-07-2015,14356.653091684435,2006 4Runner,10558,0.39,-1.2,-5.5
03-09-2015,14066.144996962836,2006 4Runner,10558,0.39,-1.2,-5.5
05-09-2015,14060.99807201509,2006 4Runner,10558,0.39,-1.2,-5.5
07-09-2015,14364.523588509976,2006 4Runner,10558,0.39,-1.2,-5.5
09-08-2015,14203.28394310592,2006 4Runner,10558,0.39,-1.2,-5.5
11-08-2015,13799.224153539742,2006 4Runner,10558,0.39,-1.2,-5.5
01-08-2016,13344.023118809557,2006 4Runner,10558,0.39,-1.2,-5.5
03-09-2016,13216.481931007038,2006 4Runner,10558,0.39,-1.2,-5.5
05-09-2016,13209.221840405904,2006 4Runner,10558,0.39,-1.2,-5.5
07-09-2016,13295.170041327085,2006 4Runner,10558,0.39,-1.2,-5.5
09-08-2016,13096.692607003892,2006 4Runner,10558,0.39,-1.2,-5.5
11-08-2016,12752.535410158758,2006 4Runner,10558,0.39,-1.2,-5.5
01-08-2017,12276.617606602476,2006 4Runner,10558,0.39,-1.2,-5.5
03-10-2017,11913.247387058696,2006 4Runner,10558,0.39,-1.2,-5.5
05-10-2017,11802.573246000757,2006 4Runner,10558,0.39,-1.2,-5.5
07-10-2017,11860.778541554515,2006 4Runner,10558,0.39,-1.2,-5.5
09-09-2017,11584.008232363743,2006 4Runner,10558,0.39,-1.2,-5.5
11-09-2017,11488.187281722934,2006 4Runner,10558,0.39,-1.2,-5.5
01-09-2018,11344.183170515098,2006 4Runner,10558,0.39,-1.2,-5.5
03-11-2018,11091.44801680265,2006 4Runner,10558,0.39,-1.2,-5.5
05-11-2018,11075.762777303755,2006 4Runner,10558,0.39,-1.2,-5.5
07-11-2018,11141.192749899978,2006 4Runner,10558,0.39,-1.2,-5.5
09-10-2018,10880.465468803686,2006 4Runner,10558,0.39,-1.2,-5.5
11-10-2018,10658.398185258275,2006 4Runner,10558,0.39,-1.2,-5.5
01-10-2019,10451.14360526781,2006 4Runner,10558,0.39,-1.2,-5.5
03-12-2019,10372.223941766577,2006 4Runner,10558,0.39,-1.2,-5.5
05-12-2019,10302.496100692326,2006 4Runner,10558,0.39,-1.2,-5.5
07-12-2019,10249.55082392392,2006 4Runner,10558,0.39,-1.2,-5.5
09-11-2019,10151.161281307392,2006 4Runner,10558,0.39,-1.2,-5.5
11-11-2019,9875.251041184636,2006 4Runner,10558,0.39,-1.2,-5.5
01-11-2020,9653.514524456521,2006 4Runner,10558,0.39,-1.2,-5.5
03-12-2020,9478.526805679032,2006 4Runner,10558,0.39,-1.2,-5.5
05-12-2020,9451.567369103852,2006 4Runner,10558,0.39,-1.2,-5.5
07-12-2020,9487.016185079674,2006 4Runner,10558,0.39,-1.2,-5.5
09-11-2020,10093.559088241049,2006 4Runner,10558,0.39,-1.2,-5.5
11-11-2020,10406.906942462256,2006 4Runner,10558,0.39,-1.2,-5.5
01-11-2021,10345.405491711794,2006 4Runner,10558,0.39,-1.2,-5.5
03-13-2021,10387.095451426727,2006 4Runner,10558,0.39,-1.2,-5.5
05-13-2021,10737.546772121406,2006 4Runner,10558,0.39,-1.2,-5.5
07-13-2021,11684.458919655015,2006 4Runner,10558,0.39,-1.2,-5.5
09-12-2021,11763.44944392563,2006 4Runner,10558,0.39,-1.2,-5.5
11-12-2021,11913.271095581214,2006 4Runner,10558,0.39,-1.2,-5.5
01-12-2022,12397.864323843416,2006 4Runner,10558,0.39,-1.2,-5.5
03-14-2022,12332.307513545757,2006 4Runner,10558,0.39,-1.2,-5.5
05-14-2022,12188.25928478348,2006 4Runner,10558,0.39,-1.2,-5.5
07-14-2022,12107.910188546079,2006 4Runner,10558,0.39,-1.2,-5.5
09-13-2022,11792.5073246878,2006 4Runner,10558,0.39,-1.2,-5.5
11-13-2022,11450.547392010589,2006 4Runner,10558,0.39,-1.2,-5.5
01-13-2023,11553.786875887181,2006 4Runner,10558,0.39,-1.2,-5.5
03-15-2023,11456.61051597363,2006 4Runner,10558,0.39,-1.2,-5.5
05-15-2023,11356.163731548231,2006 4Runner,10558,0.39,-1.2,-5.5
07-15-2023,11335.223050224582,2006 4Runner,10558,0.39,-1.2,-5.5
09-14-2023,11347.185647576413,2006 4Runner,10558,0.39,-1.2,-5.5
11-14-2023,11334.247039724982,2006 4Runner,10558,0.39,-1.2,-5.5
01-14-2024,11081.84519963552,2006 4Runner,10558,0.39,-1.2,-5.5
03-15-2024,10903.477041033047,2006 4Runner,10558,0.39,-1.2,-5.5
05-15-2024,11096.083983771252,2006 4Runner,10558,0.39,-1.2,-5.5
07-15-2024,11392.186600968189,2006 4Runner,10558,0.39,-1.2,-5.5
09-14-2024,11349.155697879858,2006 4Runner,10558,0.39,-1.2,-5.5
11-14-2024,10993.938492520138,2006 4Runner,10558,0.39,-1.2,-5.5
01-14-2025,10829.727729348277,2006 4Runner,10558,0.39,-1.2,-5.5
