Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
11-11-2020,32995.0,2021 Wrangler,32374,1.01,-1.56,-11.85
01-11-2021,35222.6005927986,2021 Wrangler,32374,1.01,-1.56,-11.85
03-13-2021,36461.50965177896,2021 Wrangler,32374,1.01,-1.56,-11.85
05-13-2021,38099.18067292645,2021 Wrangler,32374,1.01,-1.56,-11.85
07-13-2021,43314.27014704206,2021 Wrangler,32374,1.01,-1.56,-11.85
09-12-2021,47104.58535617435,2021 Wrangler,32374,1.01,-1.56,-11.85
11-12-2021,49169.93730580137,2021 Wrangler,32374,1.01,-1.56,-11.85
01-12-2022,50830.18503636139,2021 Wrangler,32374,1.01,-1.56,-11.85
03-14-2022,50090.695634364216,2021 Wrangler,32374,1.01,-1.56,-11.85
05-14-2022,48006.349617927364,2021 Wrangler,32374,1.01,-1.56,-11.85
07-14-2022,43772.97813091468,2021 Wrangler,32374,1.01,-1.56,-11.85
09-13-2022,43035.98300221552,2021 Wrangler,32374,1.01,-1.56,-11.85
11-13-2022,49355.78582304978,2021 Wrangler,32374,1.01,-1.56,-11.85
01-13-2023,46748.274703875315,2021 Wrangler,32374,1.01,-1.56,-11.85
03-15-2023,44582.231817247106,2021 Wrangler,32374,1.01,-1.56,-11.85
05-15-2023,44910.0342302442,2021 Wrangler,32374,1.01,-1.56,-11.85
07-15-2023,44496.21277061893,2021 Wrangler,32374,1.01,-1.56,-11.85
09-14-2023,43215.46045611219,2021 Wrangler,32374,1.01,-1.56,-11.85
11-14-2023,41597.09216833395,2021 Wrangler,32374,1.01,-1.56,-11.85
01-14-2024,39415.946280545824,2021 Wrangler,32374,1.01,-1.56,-11.85
03-15-2024,37256.938355249265,2021 Wrangler,32374,1.01,-1.56,-11.85
05-15-2024,36727.45829857136,2021 Wrangler,32374,1.01,-1.56,-11.85
07-15-2024,36520.13748366171,2021 Wrangler,32374,1.01,-1.56,-11.85
09-14-2024,36004.79406736087,2021 Wrangler,32374,1.01,-1.56,-11.85
11-14-2024,35256.30941963449,2021 Wrangler,32374,1.01,-1.56,-11.85
01-14-2025,33876.6872109958,2021 Wrangler,32374,1.01,-1.56,-11.85
03-16-2025,32394.493832168857,2021 Wrangler,32374,1.01,-1.56,-11.85
07-15-2023,62988.0,2024 Wrangler,45738,-0.12,-4.34,-14.25
09-14-2023,61363.59132244143,2024 Wrangler,45738,-0.12,-4.34,-14.25
11-14-2023,64725.527560884926,2024 Wrangler,45738,-0.12,-4.34,-14.25
01-14-2024,62099.15155014658,2024 Wrangler,45738,-0.12,-4.34,-14.25
03-15-2024,57846.468688200395,2024 Wrangler,45738,-0.12,-4.34,-14.25
05-15-2024,53888.375289340875,2024 Wrangler,45738,-0.12,-4.34,-14.25
07-15-2024,53612.08198825618,2024 Wrangler,45738,-0.12,-4.34,-14.25
09-14-2024,52377.848653947665,2024 Wrangler,45738,-0.12,-4.34,-14.25
11-14-2024,51100.23587299943,2024 Wrangler,45738,-0.12,-4.34,-14.25
01-14-2025,48704.699156665585,2024 Wrangler,45738,-0.12,-4.34,-14.25
03-16-2025,46634.73089509647,2024 Wrangler,45738,-0.12,-4.34,-14.25
11-09-2017,32464.0,2018 Wrangler,24500,0.27,-2.26,-15.42
01-09-2018,32109.396739130436,2018 Wrangler,24500,0.27,-2.26,-15.42
03-11-2018,32947.95879764212,2018 Wrangler,24500,0.27,-2.26,-15.42
05-11-2018,32405.358195111305,2018 Wrangler,24500,0.27,-2.26,-15.42
07-11-2018,32010.736860050358,2018 Wrangler,24500,0.27,-2.26,-15.42
09-10-2018,32108.965235899253,2018 Wrangler,24500,0.27,-2.26,-15.42
11-10-2018,31886.76473902937,2018 Wrangler,24500,0.27,-2.26,-15.42
01-10-2019,31011.05552111104,2018 Wrangler,24500,0.27,-2.26,-15.42
03-12-2019,30099.563913060752,2018 Wrangler,24500,0.27,-2.26,-15.42
05-12-2019,29856.81546641763,2018 Wrangler,24500,0.27,-2.26,-15.42
07-12-2019,29971.78960093255,2018 Wrangler,24500,0.27,-2.26,-15.42
09-11-2019,29912.500914353077,2018 Wrangler,24500,0.27,-2.26,-15.42
11-11-2019,29728.0526055888,2018 Wrangler,24500,0.27,-2.26,-15.42
01-11-2020,29095.030439058835,2018 Wrangler,24500,0.27,-2.26,-15.42
03-12-2020,28338.53847239206,2018 Wrangler,24500,0.27,-2.26,-15.42
05-12-2020,28075.90499339498,2018 Wrangler,24500,0.27,-2.26,-15.42
07-12-2020,28394.03226356536,2018 Wrangler,24500,0.27,-2.26,-15.42
09-11-2020,30485.60948097727,2018 Wrangler,24500,0.27,-2.26,-15.42
11-11-2020,31466.82284607938,2018 Wrangler,24500,0.27,-2.26,-15.42
01-11-2021,30838.44198090306,2018 Wrangler,24500,0.27,-2.26,-15.42
03-13-2021,30174.321469054637,2018 Wrangler,24500,0.27,-2.26,-15.42
05-13-2021,31531.03616368114,2018 Wrangler,24500,0.27,-2.26,-15.42
07-13-2021,34431.03893646684,2018 Wrangler,24500,0.27,-2.26,-15.42
09-12-2021,35318.66748714065,2018 Wrangler,24500,0.27,-2.26,-15.42
11-12-2021,35538.60534875895,2018 Wrangler,24500,0.27,-2.26,-15.42
01-12-2022,36175.50278668168,2018 Wrangler,24500,0.27,-2.26,-15.42
03-14-2022,35583.48051002705,2018 Wrangler,24500,0.27,-2.26,-15.42
05-14-2022,34868.71970552369,2018 Wrangler,24500,0.27,-2.26,-15.42
07-14-2022,34493.82435259417,2018 Wrangler,24500,0.27,-2.26,-15.42
09-13-2022,35753.53841349731,2018 Wrangler,24500,0.27,-2.26,-15.42
11-13-2022,36819.30765667287,2018 Wrangler,24500,0.27,-2.26,-15.42
01-13-2023,34959.64908623506,2018 Wrangler,24500,0.27,-2.26,-15.42
03-15-2023,33655.382645573154,2018 Wrangler,24500,0.27,-2.26,-15.42
05-15-2023,34129.36353116218,2018 Wrangler,24500,0.27,-2.26,-15.42
07-15-2023,34289.29189048865,2018 Wrangler,24500,0.27,-2.26,-15.42
09-14-2023,33414.390286549875,2018 Wrangler,24500,0.27,-2.26,-15.42
11-14-2023,32290.614167141346,2018 Wrangler,24500,0.27,-2.26,-15.42
01-14-2024,30657.376414245555,2018 Wrangler,24500,0.27,-2.26,-15.42
03-15-2024,29270.08549176592,2018 Wrangler,24500,0.27,-2.26,-15.42
05-15-2024,28961.95909677644,2018 Wrangler,24500,0.27,-2.26,-15.42
07-15-2024,28534.281529117543,2018 Wrangler,24500,0.27,-2.26,-15.42
09-14-2024,27780.809825863045,2018 Wrangler,24500,0.27,-2.26,-15.42
11-14-2024,26814.21657405859,2018 Wrangler,24500,0.27,-2.26,-15.42
01-14-2025,25692.058625148435,2018 Wrangler,24500,0.27,-2.26,-15.42
03-16-2025,24668.487967062043,2018 Wrangler,24500,0.27,-2.26,-15.42
03-14-2022,57498.19512195122,2022 Wrangler,35396,1.0,-3.03,-16.36
05-14-2022,51036.774327531646,2022 Wrangler,35396,1.0,-3.03,-16.36
07-14-2022,45599.90316448292,2022 Wrangler,35396,1.0,-3.03,-16.36
09-13-2022,46082.89275337549,2022 Wrangler,35396,1.0,-3.03,-16.36
11-13-2022,58619.15348811889,2022 Wrangler,35396,1.0,-3.03,-16.36
01-13-2023,55771.631877941894,2022 Wrangler,35396,1.0,-3.03,-16.36
03-15-2023,52955.35553878631,2022 Wrangler,35396,1.0,-3.03,-16.36
05-15-2023,52213.16913499674,2022 Wrangler,35396,1.0,-3.03,-16.36
07-15-2023,51556.85522814476,2022 Wrangler,35396,1.0,-3.03,-16.36
09-14-2023,50112.975729416175,2022 Wrangler,35396,1.0,-3.03,-16.36
11-14-2023,48528.1415659485,2022 Wrangler,35396,1.0,-3.03,-16.36
01-14-2024,45897.55873381864,2022 Wrangler,35396,1.0,-3.03,-16.36
03-15-2024,43690.85248358459,2022 Wrangler,35396,1.0,-3.03,-16.36
05-15-2024,42231.124835016424,2022 Wrangler,35396,1.0,-3.03,-16.36
07-15-2024,40849.80172792503,2022 Wrangler,35396,1.0,-3.03,-16.36
09-14-2024,40586.98384948385,2022 Wrangler,35396,1.0,-3.03,-16.36
11-14-2024,39782.85180551188,2022 Wrangler,35396,1.0,-3.03,-16.36
01-14-2025,37704.41238393296,2022 Wrangler,35396,1.0,-3.03,-16.36
03-16-2025,35641.470522126256,2022 Wrangler,35396,1.0,-3.03,-16.36
09-13-2022,89995.0,2023 Wrangler,38005,-0.27,-3.8,-19.04
11-13-2022,68854.57506793478,2023 Wrangler,38005,-0.27,-3.8,-19.04
01-13-2023,64584.38126491647,2023 Wrangler,38005,-0.27,-3.8,-19.04
03-15-2023,60509.08398108823,2023 Wrangler,38005,-0.27,-3.8,-19.04
05-15-2023,60589.012748091605,2023 Wrangler,38005,-0.27,-3.8,-19.04
07-15-2023,59004.043286996304,2023 Wrangler,38005,-0.27,-3.8,-19.04
09-14-2023,57990.2786096684,2023 Wrangler,38005,-0.27,-3.8,-19.04
11-14-2023,55378.537512473915,2023 Wrangler,38005,-0.27,-3.8,-19.04
01-14-2024,51903.984055642555,2023 Wrangler,38005,-0.27,-3.8,-19.04
03-15-2024,48237.97655220782,2023 Wrangler,38005,-0.27,-3.8,-19.04
05-15-2024,46806.70683751335,2023 Wrangler,38005,-0.27,-3.8,-19.04
07-15-2024,45548.98712141264,2023 Wrangler,38005,-0.27,-3.8,-19.04
09-14-2024,44167.07794890675,2023 Wrangler,38005,-0.27,-3.8,-19.04
11-14-2024,42357.94010327022,2023 Wrangler,38005,-0.27,-3.8,-19.04
