Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
01-11-2020,6458.1044924793305,2002 4Runner,9259,-8.82,-0.59,-5.99
03-12-2020,6562.778620689655,2002 4Runner,9259,-8.82,-0.59,-5.99
05-12-2020,6660.829331032216,2002 4Runner,9259,-8.82,-0.59,-5.99
07-12-2020,6844.3378285030085,2002 4Runner,9259,-8.82,-0.59,-5.99
09-11-2020,6996.511379864334,2002 4Runner,9259,-8.82,-0.59,-5.99
11-11-2020,7324.104455909944,2002 4Runner,9259,-8.82,-0.59,-5.99
01-11-2021,6973.988758825715,2002 4Runner,9259,-8.82,-0.59,-5.99
03-13-2021,7285.052887113536,2002 4Runner,9259,-8.82,-0.59,-5.99
05-13-2021,8329.311672185431,2002 4Runner,9259,-8.82,-0.59,-5.99
07-13-2021,8714.524301760777,2002 4Runner,9259,-8.82,-0.59,-5.99
09-12-2021,8464.627754140709,2002 4Runner,9259,-8.82,-0.59,-5.99
11-12-2021,8967.592031402539,2002 4Runner,9259,-8.82,-0.59,-5.99
01-12-2022,9065.298295014709,2002 4Runner,9259,-8.82,-0.59,-5.99
03-14-2022,9137.457885029204,2002 4Runner,9259,-8.82,-0.59,-5.99
05-14-2022,10040.558516483516,2002 4Runner,9259,-8.82,-0.59,-5.99
07-14-2022,10419.0278280365,2002 4Runner,9259,-8.82,-0.59,-5.99
09-13-2022,9961.758236285626,2002 4Runner,9259,-8.82,-0.59,-5.99
11-13-2022,9726.573227180152,2002 4Runner,9259,-8.82,-0.59,-5.99
01-13-2023,9633.608949575257,2002 4Runner,9259,-8.82,-0.59,-5.99
03-15-2023,9556.773287861915,2002 4Runner,9259,-8.82,-0.59,-5.99
05-15-2023,9163.981861525705,2002 4Runner,9259,-8.82,-0.59,-5.99
07-15-2023,10449.462515683814,2002 4Runner,9259,-8.82,-0.59,-5.99
09-14-2023,10341.37621100562,2002 4Runner,9259,-8.82,-0.59,-5.99
11-14-2023,9722.746387283238,2002 4Runner,9259,-8.82,-0.59,-5.99
01-14-2024,10033.052796304395,2002 4Runner,9259,-8.82,-0.59,-5.99
03-15-2024,10000.139847461865,2002 4Runner,9259,-8.82,-0.59,-5.99
05-15-2024,9777.828869418807,2002 4Runner,9259,-8.82,-0.59,-5.99
07-15-2024,9175.261961422846,2002 4Runner,9259,-8.82,-0.59,-5.99
09-14-2024,9246.230534009546,2002 4Runner,9259,-8.82,-0.59,-5.99
11-14-2024,9312.013804406597,2002 4Runner,9259,-8.82,-0.59,-5.99
01-14-2025,9411.425511956246,2002 4Runner,9259,-8.82,-0.59,-5.99
03-16-2025,9854.75093403762,2002 4Runner,9259,-8.82,-0.59,-5.99
11-02-2008,3552.669921875,1994 4Runner,12735,23.24,33.01,5.19
01-02-2009,4588.881744302949,1994 4Runner,12735,23.24,33.01,5.19
03-04-2009,5077.3461044520545,1994 4Runner,12735,23.24,33.01,5.19
05-04-2009,4436.698950039809,1994 4Runner,12735,23.24,33.01,5.19
07-04-2009,3932.0,1994 4Runner,12735,23.24,33.01,5.19
09-03-2009,4791.540480692675,1994 4Runner,12735,23.24,33.01,5.19
11-03-2009,5132.360520205823,1994 4Runner,12735,23.24,33.01,5.19
01-03-2010,5204.4822273205045,1994 4Runner,12735,23.24,33.01,5.19
03-05-2010,4960.4228186056835,1994 4Runner,12735,23.24,33.01,5.19
05-05-2010,6292.378138241525,1994 4Runner,12735,23.24,33.01,5.19
07-05-2010,4594.526557454252,1994 4Runner,12735,23.24,33.01,5.19
09-04-2010,4714.739906928008,1994 4Runner,12735,23.24,33.01,5.19
11-04-2010,5285.485653664568,1994 4Runner,12735,23.24,33.01,5.19
01-04-2011,5698.2521889353675,1994 4Runner,12735,23.24,33.01,5.19
03-06-2011,5126.626857638889,1994 4Runner,12735,23.24,33.01,5.19
05-06-2011,5274.047834019461,1994 4Runner,12735,23.24,33.01,5.19
07-06-2011,5202.138370067605,1994 4Runner,12735,23.24,33.01,5.19
09-05-2011,5040.601905063809,1994 4Runner,12735,23.24,33.01,5.19
11-05-2011,4725.609368638029,1994 4Runner,12735,23.24,33.01,5.19
01-05-2012,4045.8879400357996,1994 4Runner,12735,23.24,33.01,5.19
03-06-2012,4985.045570949774,1994 4Runner,12735,23.24,33.01,5.19
05-06-2012,4627.80759734763,1994 4Runner,12735,23.24,33.01,5.19
07-06-2012,4177.151000844595,1994 4Runner,12735,23.24,33.01,5.19
09-05-2012,3924.6489770179373,1994 4Runner,12735,23.24,33.01,5.19
11-05-2012,4276.024019357403,1994 4Runner,12735,23.24,33.01,5.19
01-05-2013,4392.188983917236,1994 4Runner,12735,23.24,33.01,5.19
03-07-2013,4200.081050796813,1994 4Runner,12735,23.24,33.01,5.19
05-07-2013,4354.5402902250935,1994 4Runner,12735,23.24,33.01,5.19
07-07-2013,3851.3572027581067,1994 4Runner,12735,23.24,33.01,5.19
09-06-2013,3726.703706709957,1994 4Runner,12735,23.24,33.01,5.19
11-06-2013,3341.9345103164324,1994 4Runner,12735,23.24,33.01,5.19
01-06-2014,3793.678455312673,1994 4Runner,12735,23.24,33.01,5.19
03-08-2014,3971.8892591292133,1994 4Runner,12735,23.24,33.01,5.19
05-08-2014,4227.850891996142,1994 4Runner,12735,23.24,33.01,5.19
07-08-2014,4174.367838298468,1994 4Runner,12735,23.24,33.01,5.19
09-07-2014,3945.320829236682,1994 4Runner,12735,23.24,33.01,5.19
11-07-2014,3697.280771544182,1994 4Runner,12735,23.24,33.01,5.19
01-07-2015,3857.1447021880067,1994 4Runner,12735,23.24,33.01,5.19
03-09-2015,3847.0177992891295,1994 4Runner,12735,23.24,33.01,5.19
05-09-2015,4277.823440427857,1994 4Runner,12735,23.24,33.01,5.19
07-09-2015,3659.9568554212287,1994 4Runner,12735,23.24,33.01,5.19
09-08-2015,3716.411845636279,1994 4Runner,12735,23.24,33.01,5.19
11-08-2015,3748.7481687832005,1994 4Runner,12735,23.24,33.01,5.19
01-08-2016,4072.6216686320754,1994 4Runner,12735,23.24,33.01,5.19
03-09-2016,3997.381364079163,1994 4Runner,12735,23.24,33.01,5.19
05-09-2016,3816.3683550824176,1994 4Runner,12735,23.24,33.01,5.19
07-09-2016,4593.917218778435,1994 4Runner,12735,23.24,33.01,5.19
